관광상품번호(NameID),관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,도로명전체주소,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,주메뉴,좌표정보(위도),좌표정보(경도),위생업태명,다중이용업소여부,음식점 분류,카테고리
4001339,5360000-101-2008-00044,2008-07-29,1,영업/정상,13,영업중,"경상남도 밀양시 시청로1길 16 (내이동,(1.2층))",경상남도 밀양시 내이동 1532-10 (1.2층),명동가,2021-08-23,U,2021-08-25,한식,열무냉면+비빔냉면+수육+명동정식+보쌈정식,35.50367201,128.7432304,한식,Y,일반음식점,한식
4001340,5360000-101-2011-00049,2011-06-27,1,영업/정상,13,영업중,경상남도 밀양시 단장면 표충로 222 ((1층)),경상남도 밀양시 단장면 단장리 1-2번지 (1층),마당발,2017-11-22,I,2018-08-31,한식,청국장정식+산채정식+청국장+산채비빔밥+옻닭,35.51571806,128.8610013,한식,N,일반음식점,한식
4001341,5360000-101-2011-00025,2011-04-27,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로 77 (삼문동),경상남도 밀양시 삼문동 728-5번지,빨간포차,2019-11-21,U,2019-11-23,기타,활어회+해물모듬+산낙지+문어숙회+가리비,35.48438475,128.7476276,기타,N,일반음식점,술집
4001342,5360000-101-2011-00024,2011-04-25,1,영업/정상,13,영업중,"경상남도 밀양시 시청로1길 14-1 (내이동,(1층))",경상남도 밀양시 내이동 1532-9번지 (1층),꼬지사께 밀양내이점,2019-09-02,U,2019-09-04,한식,직화모둠꼬치+소고기타다끼+가츠오오뎅탕+매운오돌벼&주먹밥+규카츠,35.50369701,128.7433712,한식,N,일반음식점,술집
4001343,5360000-101-2011-00006,2011-02-11,1,영업/정상,13,영업중,"경상남도 밀양시 무안면 사명로 514-1, 2층",경상남도 밀양시 무안면 무안리 814-26번지 (2층),자담치킨 밀양무안점,2017-07-14,I,2018-08-31,호프(소주방)+통닭(치킨),소보로치킨+후라이드치킨+순살치킨+양념치킨+양념순살치킨,35.47051643,128.6521988,호프(소주방)+통닭(치킨),N,일반음식점,치킨
4001344,5360000-101-2011-00004,2011-01-27,1,영업/정상,13,영업중,경상남도 밀양시 부북면 사포로 128 ((1층)),경상남도 밀양시 부북면 전사포리 347번지 (1층),사포가마솥돼지국밥,2017-09-20,I,2018-08-31,한식,돼지국밥+순대국밥+섞어국밥+돼지수육+이바이순대,35.47238615,128.7407208,한식,N,일반음식점,한식
4001345,5360000-101-2015-00028,2015-03-10,1,영업/정상,13,영업중,경상남도 밀양시 하남읍 수산로 38,경상남도 밀양시 하남읍 수산리 473-27,다인뒷고기,2021-05-11,U,2021-05-13,한식,뒷고기+생삼겹살+돼지갈비+막창+된장찌개(대),35.37527582,128.7099909,한식,N,일반음식점,고깃집(정육점)
4001346,5360000-101-2016-00074,2016-09-06,1,영업/정상,13,영업중,"경상남도 밀양시 창밀로 3566-2, 가동 (내이동)",경상남도 밀양시 내이동 446-4,BBQ치킨 밀양신촌점,2020-11-26,U,2020-11-28,정종/대포집(선술집)+호프(소주방),황금올리브치킨+황금올리브치킨속안심+오리지날양념치킨+자메이카통다리구이+황금올리브치킨반반,35.50399116,128.7375932,정종/대포집(선술집)+호프(소주방),N,일반음식점,치킨
4001347,5360000-101-2016-00070,2016-08-11,1,영업/정상,13,영업중,경상남도 밀양시 해천길 40 (내이동),경상남도 밀양시 내이동 917-4번지,신전떡볶이 밀양내이점,2016-08-11,I,2018-08-31,분식,떡볶이+치즈떡볶이+오뎅+만두+잡채말이,35.49237105,128.7509827,분식,N,일반음식점,분식
4001348,5360000-101-2016-00067,2016-08-09,1,영업/정상,13,영업중,"경상남도 밀양시 해천안길 1, 2층 (내이동)",경상남도 밀양시 내이동 925번지 2층,유가네닭갈비 밀양점,2018-12-17,U,2018-12-19,한식,유가네닭갈비+닭갈비철판볶음밥,35.4917344,128.7511106,한식,Y,일반음식점,한식
4001349,5360000-101-2016-00052,2016-06-09,1,영업/정상,13,영업중,경상남도 밀양시 해천길 44 (내이동),경상남도 밀양시 내이동 924-1번지,누들떡볶이,2019-08-01,U,2019-08-06,분식,국물누들떡볶이+치즈떡떡볶이+밀떡볶이+쌀떡볶이,35.49203247,128.7510944,분식,N,일반음식점,분식
4001350,5360000-101-2016-00051,2016-06-08,1,영업/정상,13,영업중,경상남도 밀양시 시청서길 49-1 (내이동),경상남도 밀양시 내이동 1523-4번지,콩쥐팥쥐,2019-10-07,U,2019-10-09,한식,추어탕+닭볶음탕+김치찌개,35.50281172,128.7403429,한식,N,일반음식점,한식
4001351,5360000-101-2016-00058,2016-07-06,1,영업/정상,13,영업중,경상남도 밀양시 삼랑진읍 안태1길 7,경상남도 밀양시 삼랑진읍 안태리 535번지,안태시골삼계탕,2017-01-05,I,2018-08-31,한식,백숙+삼계탕,35.40858419,128.8723384,한식,N,일반음식점,한식
4001352,5360000-101-2016-00054,2016-06-15,1,영업/정상,13,영업중,"경상남도 밀양시 미리벌로2길 10, 1층 (삼문동)",경상남도 밀양시 삼문동 721-5,두근두근정육식당,2021-06-28,U,2021-06-30,식육(숯불구이),소고기두근+돼지고기두근,35.48175314,128.7483376,식육(숯불구이),N,일반음식점,고깃집(정육점)
4001353,5360000-101-2011-00038,2011-06-09,1,영업/정상,13,영업중,경상남도 밀양시 단장면 시전2길 9-9 ((1층)),경상남도 밀양시 단장면 구천리 2052-7번지 (1층),밀양가든,2017-11-22,I,2018-08-31,한식,염소불고기,35.5312339,128.9437311,한식,N,일반음식점,한식
4001354,5360000-101-2015-00033,2015-03-18,1,영업/정상,13,영업중,경상남도 밀양시 삼문중앙로 12 (삼문동),경상남도 밀양시 삼문동 203-14번지,버무리떡볶이 밀양삼문점,2019-11-11,U,2019-11-13,분식,떡볶이+순대+어묵+꼬마김밥,35.48366526,128.7537877,분식,N,일반음식점,분식
4001355,5360000-101-2015-00032,2015-03-17,1,영업/정상,13,영업중,경상남도 밀양시 중앙로 393 (내이동),경상남도 밀양시 내이동 770-4,한명숙김밥집,2021-07-13,U,2021-07-15,김밥(도시락),일반김밥+일미김밥+치즈김밥+김치김밥+계란말이김밥,35.49584086,128.7499376,김밥(도시락),N,일반음식점,포장(도시락)
4001356,5360000-101-2015-00030,2015-03-11,1,영업/정상,13,영업중,경상남도 밀양시 밀양대로 1773 (삼문동),경상남도 밀양시 삼문동 547-15번지,쌀통닭 밀양삼문점,2020-04-21,U,2020-04-23,통닭(치킨),쌀통닭 양념+쌀통닭 순살+쌀통닭 날개+쌀통닭 반반+양파뿌린닭,35.48341546,128.7519703,통닭(치킨),N,일반음식점,치킨
4001357,5360000-101-2013-00103,2013-12-13,1,영업/정상,13,영업중,경상남도 밀양시 삼랑진읍 임천2길 3,경상남도 밀양시 삼랑진읍 임천리 493번지,울림식당,2015-02-27,I,2018-08-31,한식,콩국수+비빔국수+잔치국수+선지국밥,35.45309515,128.797376,한식,N,일반음식점,한식
4001358,5360000-101-2014-00012,2014-02-19,1,영업/정상,13,영업중,경상남도 밀양시 하남읍 양동농공단지길 15,경상남도 밀양시 하남읍 양동리 179-4번지,해정식당,2017-11-22,I,2018-08-31,한식,1인 정식,35.38712448,128.7263389,한식,N,일반음식점,한식
4001359,5360000-101-2016-00049,2016-05-31,1,영업/정상,13,영업중,경상남도 밀양시 용평로 209 (용평동),경상남도 밀양시 용평동 312-6,대양정,2021-05-03,U,2021-05-05,한식,짜장면+우동+짬뽕+간짜장+잡채밥,35.48949475,128.7735922,한식,N,일반음식점,중식
4001360,5360000-101-2016-00046,2016-05-26,1,영업/정상,13,영업중,경상남도 밀양시 하남읍 수산복개길 16-2,경상남도 밀양시 하남읍 수산리 808-10번지,콤마,2017-11-07,I,2018-08-31,한식,아메리카노,35.37558304,128.7085712,한식,N,일반음식점,카페(디저트)
4001361,5360000-101-2016-00045,2016-05-24,1,영업/정상,13,영업중,경상남도 밀양시 부북면 예림서원로 21,경상남도 밀양시 부북면 전사포리 605-3번지,밀양콩,2018-08-22,I,2018-08-31,한식,돌솥밥+순두부+흰순두부+청국장+버섯두부전골,35.47451036,128.7345537,한식,N,일반음식점,한식
4001362,5360000-101-2016-00044,2016-05-23,1,영업/정상,13,영업중,경상남도 밀양시 북성로3길 10 (내이동),경상남도 밀양시 내이동 1190-6번지,아재요국수는,2016-05-23,I,2018-08-31,한식,떡국,35.49761242,128.7448091,한식,N,일반음식점,한식
